"","site","plot","plot_number","canopy_coverage","vegtation_cover","needle_depth","needle_coverage","organic_layer_depth","tree_density","tree_species_richness","plant_species_richness","organic_content_10cm","organic_content_25cm","survey","soil_percent_water_10cm","soil_salinity_ppt_10cm","soil_percent_water_25cm","soil_salinity_ppt_25cm","julian_date","plot_mushroom_richness","block"
"1","1","1","1",0.825,0.15,5.725,1,6.83333333333333,0.03,1,9,0.0612596762843068,0.0184466731057262,"1",35.8565737051793,1.05977777777778,NA,NA,180,0,1
"2","1","1","1",0.825,0.15,5.725,1,6.83333333333333,0.03,1,9,0.0612596762843068,0.0184466731057262,"2",9.56175298804783,4.28791666666666,NA,NA,187,0,1
"3","1","1","1",0.825,0.15,5.725,1,6.83333333333333,0.03,1,9,0.0612596762843068,0.0184466731057262,"3",40.8,1.77176470588235,13.3064516129033,1.79636363636363,193,1,1
"4","1","1","1",0.825,0.15,5.725,1,6.83333333333333,0.03,1,9,0.0612596762843068,0.0184466731057262,"4",16.25,3.65384615384615,6.37450199203185,3.37312500000001,200,3,1
"5","1","1","1",0.825,0.15,5.725,1,6.83333333333333,0.03,1,9,0.0612596762843068,0.0184466731057262,"5",58.641975308642,5.44273684210526,9.56175298804772,2.98458333333336,210,3,1
"6","1","1","1",0.825,0.15,5.725,1,6.83333333333333,0.03,1,9,0.0612596762843068,0.0184466731057262,"6",13.6,3.08823529411764,14,2.71542857142857,215,2,1
"7","1","1","1",0.825,0.15,5.725,1,6.83333333333333,0.03,1,9,0.0612596762843068,0.0184466731057262,"7",36.5079365079365,0.839021739130436,23.8907849829351,1.62085714285714,263,5,1
"8","1","2","2",0.85,0.3,4.875,0.8,5.588,0.04,2,10,0.186466928641558,0.03666363853896,"1",15.9362549800797,1.125,NA,NA,180,0,1
"9","1","2","2",0.85,0.3,4.875,0.8,5.588,0.04,2,10,0.186466928641558,0.03666363853896,"2",25.4980079681275,1.45109375,NA,NA,187,0,1
"10","1","2","2",0.85,0.3,4.875,0.8,5.588,0.04,2,10,0.186466928641558,0.03666363853896,"3",18.4738955823293,1.36413043478261,5.64516129032249,2.10000000000003,193,1,1
"11","1","2","2",0.85,0.3,4.875,0.8,5.588,0.04,2,10,0.186466928641558,0.03666363853896,"4",20,2.1,7.66129032258066,2.02894736842105,200,1,1
"12","1","2","2",0.85,0.3,4.875,0.8,5.588,0.04,2,10,0.186466928641558,0.03666363853896,"5",39.3939393939395,1.81961538461538,13.5802469135802,1.44515151515152,210,4,1
"13","1","2","2",0.85,0.3,4.875,0.8,5.588,0.04,2,10,0.186466928641558,0.03666363853896,"6",25.3012048192771,1.86507936507936,6.5573770491803,2.52875000000001,215,0,1
"14","1","2","2",0.85,0.3,4.875,0.8,5.588,0.04,2,10,0.186466928641558,0.03666363853896,"7",22.8,1.07456140350877,13.8888888888889,1.48742857142857,263,8,1
"15","1","3","3",0.6875,0.45,3.75,1,4.16666666666667,0.04,1,8,0.0139335056839764,0.0145415880267405,"1",14.4000000000001,1.04166666666666,NA,NA,180,0,1
"16","1","3","3",0.6875,0.45,3.75,1,4.16666666666667,0.04,1,8,0.0139335056839764,0.0145415880267405,"2",14.4,1.18055555555556,NA,NA,187,0,1
"17","1","3","3",0.6875,0.45,3.75,1,4.16666666666667,0.04,1,8,0.0139335056839764,0.0145415880267405,"3",6.80000000000006,0.889411764705873,6.09756097560976,1.204,193,2,1
"18","1","3","3",0.6875,0.45,3.75,1,4.16666666666667,0.04,1,8,0.0139335056839764,0.0145415880267405,"4",12,0.585666666666667,4.47154471544713,0.230000000000001,200,0,1
"19","1","3","3",0.6875,0.45,3.75,1,4.16666666666667,0.04,1,8,0.0139335056839764,0.0145415880267405,"5",10.4417670682731,0.675769230769232,7.17131474103579,0.58444444444445,210,1,1
"20","1","3","3",0.6875,0.45,3.75,1,4.16666666666667,0.04,1,8,0.0139335056839764,0.0145415880267405,"6",5.62248995983938,0.892857142857139,7.72357723577238,0.692105263157893,215,1,1
"21","1","3","3",0.6875,0.45,3.75,1,4.16666666666667,0.04,1,8,0.0139335056839764,0.0145415880267405,"7",17.6,1.035,17.3553719008264,0.371666666666668,263,5,1
"22","2","1","4",0.75,0.7,4,0.9,5.08,0.02,1,7,0.0150743057461781,0.00326996623162749,"1",3.21285140562253,1.56874999999998,NA,NA,180,0,1
"23","2","1","4",0.75,0.7,4,0.9,5.08,0.02,1,7,0.0150743057461781,0.00326996623162749,"2",4.39999999999998,2.96636363636365,NA,NA,187,0,1
"24","2","1","4",0.75,0.7,4,0.9,5.08,0.02,1,7,0.0150743057461781,0.00326996623162749,"3",4.38247011952189,1.36909090909092,3.90625,1.506,193,0,1
"25","2","1","4",0.75,0.7,4,0.9,5.08,0.02,1,7,0.0150743057461781,0.00326996623162749,"4",3.19999999999993,1.88250000000004,3.58565737051795,0.843333333333328,200,0,1
"26","2","1","4",0.75,0.7,4,0.9,5.08,0.02,1,7,0.0150743057461781,0.00326996623162749,"5",7.20000000000005,0.69444444444444,4.54545454545452,0.687272727272731,210,5,1
"27","2","1","4",0.75,0.7,4,0.9,5.08,0.02,1,7,0.0150743057461781,0.00326996623162749,"6",6.39999999999998,0.937500000000003,3.93700787401575,0.266,215,3,1
